Date,High,Low,Open,Close,Volume,Adj Close
2018-01-02,98.9000015258789,96.75,97.13999938964844,98.41000366210938,4561300.0,82.95692443847656
2018-01-03,100.0999984741211,98.04000091552734,98.55000305175781,99.94999694824219,4702300.0,84.25508117675781
2018-01-04,100.12000274658203,98.3499984741211,100.06999969482422,99.37999725341797,3579000.0,83.77459716796875
2018-01-05,101.19999694824219,98.55999755859375,99.33999633789062,101.11000061035156,4599300.0,85.23294067382812
2018-01-08,101.27999877929688,98.18000030517578,101.27999877929688,99.48999786376953,5582000.0,83.8673095703125
2018-01-09,100.66000366210938,98.69999694824219,99.48999786376953,100.23999786376953,4055400.0,84.49955749511719
2018-01-10,100.19999694824219,99.18000030517578,99.6500015258789,99.69000244140625,4608600.0,84.03592681884766
2018-01-11,99.48999786376953,98.55999755859375,99.37000274658203,99.2699966430664,4240900.0,84.28214263916016
2018-01-12,100.63999938964844,98.66000366210938,99.33999633789062,100.33999633789062,4372600.0,85.19058227539062
2018-01-16,103.0,100.0,100.26000213623047,102.48999786376953,8528600.0,87.01597595214844
2018-01-17,104.83999633789062,102.55000305175781,103.0,104.36000061035156,5384900.0,88.60363006591797
2018-01-18,104.8499984741211,103.44000244140625,104.29000091552734,103.80999755859375,6371200.0,88.13667297363281
2018-01-19,104.87000274658203,103.55000305175781,104.33000183105469,104.63999938964844,4991300.0,88.84136199951172
2018-01-22,106.54000091552734,104.45999908447266,104.69999694824219,106.48999786376953,4538100.0,90.41204071044922
2018-01-23,106.97000122070312,105.02999877929688,106.16999816894531,105.37999725341797,5095300.0,89.46965026855469
2018-01-24,106.2300033569336,104.0999984741211,105.26000213623047,105.51000213623047,4436500.0,89.58001708984375
2018-01-25,108.37000274658203,105.73999786376953,105.94999694824219,108.30000305175781,6327500.0,91.94878387451172
2018-01-26,125.86000061035156,113.5,114.5,123.20999908447266,19614500.0,104.6076431274414
2018-01-29,124.1500015258789,118.9800033569336,121.5,122.30999755859375,10182700.0,103.84353637695312
2018-01-30,121.44999694824219,115.87000274658203,119.41999816894531,115.87999725341797,11851400.0,98.38433074951172
2018-01-31,116.5,111.29000091552734,116.20999908447266,112.22000122070312,15744800.0,95.27692413330078
2018-02-01,117.52999877929688,112.2300033569336,112.23999786376953,116.33999633789062,9943500.0,98.77488708496094
2018-02-02,117.93000030517578,114.91999816894531,115.5,115.16999816894531,7184400.0,97.78153228759766
