High,Low,Open,Close,Volume,Adj Close
24.5,22.5,23.90999984741211,23.3700008392334,44970400,23.3700008392334
24.670000076293945,22.889999389648438,23.18000030517578,24.600000381469727,29050400,24.600000381469727
24.459999084472656,23.25,24.1200008392334,23.540000915527344,32732900,23.540000915527344
25.190000534057617,23.670000076293945,24.020000457763672,25.0,32240000,25.0
26.440000534057617,24.700000762939453,25.700000762939453,25.200000762939453,41313800,25.200000762939453
26.600000381469727,24.309999465942383,24.610000610351562,25.93000030517578,32609000,25.93000030517578
26.420000076293945,25.510000228881836,26.34000015258789,26.18000030517578,26995000,26.18000030517578
27.43000030517578,25.1299991607666,25.709999084472656,25.5,51216600,25.5
25.6200008392334,24.3700008392334,25.450000762939453,24.920000076293945,32908000,24.920000076293945
28.0,25.459999084472656,26.260000228881836,25.639999389648438,92285500,25.639999389648438
27.540000915527344,26.0,26.809999465942383,26.6200008392334,48675800,26.6200008392334
27.299999237060547,25.700000762939453,27.290000915527344,26.34000015258789,37459000,26.34000015258789
26.68000030517578,25.299999237060547,26.420000076293945,25.979999542236328,29891400,25.979999542236328
32.650001525878906,25.81999969482422,25.850000381469727,32.58000183105469,156844700,32.58000183105469
39.58000183105469,29.559999465942383,34.459999084472656,36.22999954223633,191345300,36.22999954223633
36.869998931884766,34.31999969482422,35.13999938964844,35.369998931884766,65870000,35.369998931884766
45.0,32.25,32.970001220703125,39.0,170758800,39.0
42.0,33.099998474121094,39.540000915527344,35.65999984741211,85250700,35.65999984741211
38.0099983215332,34.65999984741211,36.61000061035156,35.18000030517578,42030900,35.18000030517578
35.619998931884766,32.58000183105469,35.33000183105469,33.959999084472656,43460900,33.959999084472656
34.20000076293945,30.5,34.099998474121094,31.020000457763672,69647900,31.020000457763672
32.95000076293945,31.3799991607666,32.38999938964844,31.760000228881836,35312000,31.760000228881836
33.18000030517578,31.049999237060547,32.58000183105469,32.04999923706055,31565000,32.04999923706055
35.20000076293945,31.75,32.61000061035156,34.04999923706055,62230800,34.04999923706055
39.220001220703125,35.88999938964844,37.220001220703125,36.04999923706055,72376000,36.04999923706055
38.255001068115234,36.130001068115234,36.900001525878906,38.16999816894531,44243200,38.16999816894531
38.2400016784668,35.0,38.150001525878906,35.70000076293945,45177200,35.70000076293945
35.97999954223633,32.61000061035156,35.790000915527344,33.11000061035156,51863200,33.11000061035156
33.650001525878906,31.34000015258789,33.36000061035156,31.90999984741211,60359100,31.90999984741211
30.440000534057617,27.299999237060547,30.020000457763672,27.84000015258789,180294300,27.84000015258789
29.729999542236328,27.0,27.989999771118164,27.079999923706055,151007000,27.079999923706055
26.309999465942383,24.5,24.989999771118164,25.170000076293945,313175100,25.170000076293945
29.959999084472656,26.899999618530273,27.020000457763672,29.0,320063700,29.0
30.190000534057617,27.535999298095703,29.959999084472656,28.0,183049500,28.0
27.459999084472656,23.899999618530273,25.959999084472656,26.75,145289400,26.75
27.229999542236328,25.75,26.709999084472656,26.389999389648438,90095700,26.389999389648438
26.440000534057617,23.149999618530273,25.81999969482422,23.959999084472656,161776400,23.959999084472656
24.5,22.700000762939453,24.200000762939453,23.899999618530273,119588600,23.899999618530273
25.899999618530273,24.6200008392334,25.190000534057617,24.809999465942383,84352800,24.809999465942383
25.59000015258789,24.260000228881836,25.0,24.479999542236328,73539700,24.479999542236328
25.167999267578125,23.43000030517578,24.989999771118164,23.59000015258789,76548900,23.59000015258789
25.559999465942383,23.049999237060547,24.850000381469727,24.729999542236328,160436400,24.729999542236328
24.68000030517578,20.18000030517578,24.360000610351562,23.950000762939453,172875900,23.950000762939453
24.579999923706055,22.399999618530273,23.770000457763672,22.520000457763672,93973900,22.520000457763672
24.739999771118164,23.100000381469727,23.3799991607666,24.260000228881836,99106800,24.260000228881836
26.239999771118164,24.270000457763672,25.030000686645508,24.75,102847800,24.75
26.84000015258789,25.579999923706055,25.950000762939453,26.729999542236328,84337000,26.729999542236328
26.920000076293945,25.18000030517578,25.739999771118164,26.920000076293945,58489200,26.920000076293945
27.469999313354492,26.309999465942383,27.350000381469727,26.790000915527344,56101500,26.790000915527344
27.100000381469727,25.229999542236328,26.75,25.610000610351562,72869300,25.610000610351562
25.729999542236328,24.299999237060547,24.520000457763672,25.209999084472656,76465400,25.209999084472656
25.18000030517578,23.780000686645508,24.729999542236328,23.979999542236328,57141400,23.979999542236328
24.56999969482422,23.389999389648438,24.010000228881836,24.31999969482422,57611900,24.31999969482422
24.920000076293945,23.860000610351562,24.889999389648438,24.219999313354492,46208100,24.219999313354492
24.104999542236328,23.100000381469727,24.0,23.260000228881836,50169700,23.260000228881836
23.485000610351562,21.75,23.299999237060547,21.8799991607666,69271900,21.8799991607666
22.799999237060547,21.049999237060547,21.200000762939453,22.579999923706055,74592600,22.579999923706055
23.049999237060547,21.760000228881836,22.6299991607666,22.579999923706055,57689500,22.579999923706055
22.5,21.389999389648438,22.479999542236328,21.729999542236328,57647400,21.729999542236328
22.09000015258789,20.860000610351562,21.360000610351562,22.040000915527344,52039700,22.040000915527344
23.850000381469727,22.3799991607666,22.5,23.290000915527344,61458500,23.290000915527344
23.950000762939453,22.729999542236328,23.950000762939453,23.06999969482422,51788800,23.06999969482422
24.450000762939453,23.34000015258789,23.780000686645508,23.440000534057617,65374300,23.440000534057617
23.610000610351562,22.829999923706055,23.549999237060547,23.270000457763672,41933500,23.270000457763672
23.549999237060547,22.809999465942383,23.0,22.899999618530273,32766200,22.899999618530273
23.600000381469727,22.739999771118164,23.200000762939453,23.40999984741211,35905500,23.40999984741211
